age  education-num  capital-gain  capital-loss  hours-per-week  count
17   3              0             0             48              1             
17   4              0             0             8               1             
17   4              0             0             40              1             
17   4              0             0             45              1             
17   5              0             0             6               1             
17   5              0             0             9               1             
17   5              0             0             16              2             
17   5              0             0             20              6             
17   5              0             0             22              1             
17   5              0             0             26              1             
17   5              0             0             32              1             
17   5              0             0             35              2             
17   5              0             0             40              5             
17   5              0             0             45              1             
17   5              0             1719          15              1             
17   5              1055          0             24              1             
17   6              0             0             4               1             
17   6              0             0             5               2             
17   6              0             0             6               1             
17   6              0             0             8               2             
17   6              0             0             10              11            
17   6              0             0             12              10            
17   6              0             0             14              2             
17   6              0             0             15              14            
17   6              0             0             16              2             
17   6              0             0             18              1             
17   6              0             0             20              21            
17   6              0             0             21              1             
17   6              0             0             23              1             
17   6              0             0             24              5             
17   6              0             0             25              5             
17   6              0             0             26              1             
17   6              0             0             30              10            
17   6              0             0             35              2             
17   6              0             0             40              8             
17   6              0             1602          10              1             
17   6              0             1602          12              1             
17   6              0             1602          18              1             
17   6              0             1602          40              1             
17   6              594           0             30              1             
17   6              1055          0             20              1             
17   7              0             0             5               3             
17   7              0             0             7               1             
17   7              0             0             8               4             
17   7              0             0             9               2             
17   7              0             0             10              6             
17   7              0             0             12              15            
17   7              0             0             13              1             
17   7              0             0             15              21            
17   7              0             0             16              12            
17   7              0             0             17              3             
17   7              0             0             18              1             
17   7              0             0             20              39            
17   7              0             0             22              1             
17   7              0             0             23              1             
17   7              0             0             24              2             
17   7              0             0             25              11            
17   7              0             0             28              1             
17   7              0             0             30              10            
17   7              0             0             32              1             
17   7              0             0             35              2             
17   7              0             0             40              7             
17   7              0             0             45              1             
17   7              0             1602          12              1             
17   7              0             1602          40              1             
17   7              0             1719          18              1             
17   7              0             1721          15              1             
17   7              594           0             10              1             
17   7              594           0             40              1             
17   7              1055          0             18              1             
17   7              1055          0             20              1             
17   7              2176          0             18              1             
17   8              0             0             6               2             
17   8              0             0             7               1             
17   8              0             0             8               1             
17   8              0             0             12              2             
17   8              0             0             15              4             
17   8              0             0             16              5             
17   8              0             0             17              1             
17   8              0             0             18              2             
17   8              0             0             20              7             
17   8              0             0             23              1             
17   8              0             0             25              1             
17   8              0             0             30              2             
17   8              0             0             35              1             
17   8              0             0             40              1             
17   8              0             1721          25              1             
17   9              0             0             20              3             
17   9              0             0             35              2             
17   9              0             0             40              2             
17   10             0             0             16              1             
17   10             0             0             20              1             
18   3              0             0             30              1             
18   3              0             0             40              2             
18   3              0             0             54              1             
18   4              0             0             30              1             
18   4              0             0             40              4             
18   5              0             0             15              1             
18   5              0             0             20              1             
18   5              0             0             32              1             
18   5              0             0             35              1             
18   5              0             0             40              1             
18   5              0             0             42              1             
18   5              594           0             40              1             
18   6              0             0             3               1             
18   6              0             0             6               2             
18   6              0             0             10              2             
18   6              0             0             11              1             
18   6              0             0             15              2             
18   6              0             0             20              5             
18   6              0             0             25              1             
18   6              0             0             27              2             
18   6              0             0             28              1             
18   6              0             0             30              3             
18   6              0             0             35              1             
18   6              0             0             36              1             
18   6              0             0             40              7             
18   6              0             0             56              1             
18   7              0             0             2               1             
18   7              0             0             3               1             
18   7              0             0             4               2             
18   7              0             0             5               3             
18   7              0             0             6               1             
18   7              0             0             7               1             
18   7              0             0             8               6             
18   7              0             0             10              5             
18   7              0             0             12              8             
18   7              0             0             13              1             
18   7              0             0             15              19            
18   7              0             0             16              9             
18   7              0             0             18              2             
18   7              0             0             19              1             
18   7              0             0             20              35            
18   7              0             0             22              1             
18   7              0             0             24              3             
18   7              0             0             25              8             
18   7              0             0             28              1             
18   7              0             0             30              8             
18   7              0             0             35              2             
18   7              0             0             40              16            
18   7              0             0             49              1             
18   7              0             0             55              1             
18   7              0             0             70              1             
18   7              0             1602          20              1             
18   7              0             1602          23              1             
18   7              0             1602          40              1             
18   7              594           0             4               1             
18   7              594           0             30              1             
18   7              1055          0             20              1             
18   8              0             0             6               1             
18   8              0             0             8               1             
18   8              0             0             10              2             
18   8              0             0             12              3             
18   8              0             0             15              3             
18   8              0             0             18              2             
18   8              0             0             20              17            
18   8              0             0             24              2             
18   8              0             0             25              4             
18   8              0             0             27              1             
18   8              0             0             30              6             
18   8              0             0             32              1             
18   8              0             0             35              2             
18   8              0             0             40              3             
18   8              0             0             55              1             
18   8              594           0             14              1             
18   8              594           0             20              1             
18   9              0             0             8               2             
18   9              0             0             10              3             
18   9              0             0             11              1             
18   9              0             0             12              1             
18   9              0             0             15              3             
18   9              0             0             16              1             
18   9              0             0             18              1             
18   9              0             0             20              21            
18   9              0             0             22              2             
18   9              0             0             24              2             
18   9              0             0             25              15            
18   9              0             0             27              1             
18   9              0             0             28              2             
18   9              0             0             30              16            
18   9              0             0             33              1             
18   9              0             0             35              5             
18   9              0             0             36              1             
18   9              0             0             37              1             
18   9              0             0             38              1             
18   9              0             0             40              34            
18   9              0             0             45              1             
18   9              0             0             60              2             
18   9              0             1602          20              1             
18   9              0             1719          15              1             
18   9              0             1721          40              1             
18   9              1055          0             25              1             
18   9              1055          0             30              1             
18   9              2176          0             25              1             
18   9              3103          0             40              1             
18   9              34095         0             3               1             
