age  education-num  capital-gain  capital-loss  hours-per-week  count
17   3              0             0             48              1             
17   5              0             0             6               1             
17   5              0             0             9               1             
17   5              1055          0             24              1             
17   6              0             0             10              2             
17   6              0             0             15              1             
17   6              0             0             20              3             
17   6              0             0             21              1             
17   6              0             0             24              2             
17   6              0             0             30              2             
17   6              1055          0             20              1             
17   7              0             0             5               1             
17   7              0             0             10              3             
17   7              0             0             12              3             
17   7              0             0             15              1             
17   7              0             0             16              2             
17   7              0             0             17              1             
17   7              0             0             20              8             
17   7              0             0             24              1             
17   7              0             0             25              2             
17   7              0             0             28              1             
17   7              0             0             35              1             
17   7              0             0             45              1             
17   7              1055          0             20              1             
17   7              2176          0             18              1             
17   8              0             0             8               1             
17   8              0             0             15              1             
17   8              0             0             16              2             
17   8              0             0             20              1             
17   9              0             0             40              1             
18   5              594           0             40              1             
18   6              0             0             10              1             
18   6              0             0             27              1             
18   7              0             0             5               1             
18   7              0             0             8               1             
18   7              0             0             12              1             
18   7              0             0             15              1             
18   7              0             0             16              1             
18   7              0             0             20              8             
18   7              0             0             22              1             
18   7              0             0             25              3             
18   7              0             0             30              1             
18   7              0             0             35              2             
18   7              0             0             40              5             
18   7              0             0             55              1             
18   8              0             0             6               1             
18   8              0             0             10              1             
18   8              0             0             12              1             
18   8              0             0             24              2             
18   8              0             0             25              1             
18   8              0             0             30              2             
18   8              0             0             35              1             
18   8              0             0             40              2             
18   9              0             0             8               1             
18   9              0             0             12              1             
18   9              0             0             15              1             
18   9              0             0             20              1             
18   9              0             0             24              1             
18   9              0             0             28              1             
18   9              0             0             30              2             
18   9              0             0             36              1             
18   9              0             0             40              6             
18   9              0             0             45              1             
18   9              0             1719          15              1             
18   9              34095         0             3               1             
18   10             0             0             15              3             
18   10             0             0             16              2             
18   10             0             0             20              4             
18   10             0             0             25              1             
18   10             0             0             40              1             
19   3              0             0             36              1             
19   6              0             0             40              1             
19   7              0             0             20              1             
19   7              0             0             40              4             
19   7              0             0             60              1             
19   8              0             0             30              1             
19   9              0             0             3               1             
19   9              0             0             14              1             
19   9              0             0             20              2             
19   9              0             0             24              1             
19   9              0             0             25              3             
19   9              0             0             26              1             
19   9              0             0             30              5             
19   9              0             0             35              2             
19   9              0             0             40              13            
19   9              0             0             42              1             
19   9              0             0             45              2             
19   9              0             0             50              2             
19   10             0             0             8               1             
19   10             0             0             10              2             
19   10             0             0             14              1             
19   10             0             0             15              1             
19   10             0             0             16              2             
19   10             0             0             20              10            
19   10             0             0             22              1             
19   10             0             0             25              5             
19   10             0             0             28              2             
19   10             0             0             30              4             
19   10             0             0             32              1             
19   10             0             0             35              1             
19   10             0             0             36              1             
19   10             0             0             40              7             
